18:54:51 | INFO     | qmt_ths.data.market | 已启用 East Money push2 代理网关: 101.201.173.125
18:55:22 | INFO     | qmt_ths.core.manager | 开始执行后台盘后选股任务...
18:55:22 | INFO     | run_screening | ========== 盘后选股开始 (20260522) ==========
18:55:22 | INFO     | qmt_ths.data.market | 已启用 East Money push2 代理网关: 101.201.173.125
18:55:44 | WARNING  | qmt_ths.data.market | 获取行情分页 70/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:44 | INFO     | run_screening | 获取全市场基础行情成功，共 5521 只股票
18:55:44 | INFO     | qmt_ths.strategies.screener | [Phase 0] 获取涨停池...
18:55:44 | WARNING  | qmt_ths.data.market | 获取行情分页 1/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:44 | WARNING  | qmt_ths.data.market | 获取行情分页 2/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:45 | INFO     | qmt_ths.strategies.screener | [Phase 1] 准备全市场数据，过滤 ST/科创板/北交所...
18:55:45 | INFO     | qmt_ths.strategies.screener | [Phase 2] 对 4558 只股票进行量比检查...
18:55:45 | WARNING  | qmt_ths.data.market | 获取行情分页 4/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:45 | WARNING  | qmt_ths.data.market | 获取行情分页 5/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:46 | WARNING  | qmt_ths.data.market | 获取行情分页 6/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:46 | WARNING  | qmt_ths.data.market | 获取行情分页 8/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:46 | WARNING  | qmt_ths.data.market | 获取行情分页 10/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:46 | WARNING  | qmt_ths.data.market | 获取行情分页 7/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:46 | WARNING  | qmt_ths.data.market | 获取行情分页 8/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 9/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 10/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 11/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 12/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 13/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 14/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 15/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:47 | WARNING  | qmt_ths.data.market | 获取行情分页 14/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:48 | WARNING  | qmt_ths.data.market | 获取行情分页 16/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:48 | WARNING  | qmt_ths.data.market | 获取行情分页 15/70 失败: Expecting value: line 1 column 1 (char 0)
18:55:48 | WARNING  | qmt_ths.data.market | 获取行情分页 16/70 失败: Expecting value: line 1 column 1 (char 0)
